Date,Open,High,Low,Close,Adj Close,Volume
2010-07-12,127.370003,128.830002,127.160004,128.669998,94.152565,4206900
2010-07-13,128.970001,130.979996,128.690002,130.479996,95.477005,6687700
2010-07-14,129.320007,131.600006,129.139999,130.720001,95.652611,6607200
2010-07-15,129.869995,130.919998,129.550003,130.720001,95.652611,6186800
2010-07-16,129.960007,130.149994,127.849998,128.029999,93.684273,7002900
2010-07-19,128.669998,130.380005,128.369995,129.789993,94.972084,8388600
2010-07-20,122.970001,126.559998,122.930000,126.550003,92.601311,16337400
2010-07-21,126.440002,126.500000,124.620003,125.269997,91.664642,8615500
2010-07-22,126.320000,127.779999,126.050003,127.470001,93.274460,6909000
2010-07-23,127.300003,128.800003,127.000000,128.380005,93.940353,5078000
2010-07-26,128.179993,128.429993,127.139999,128.410004,93.962318,5174900
2010-07-27,128.779999,129.169998,127.889999,128.630005,94.123283,4648200
2010-07-28,128.669998,129.350006,127.879997,128.429993,93.976952,4248800
2010-07-29,129.059998,129.500000,127.139999,128.020004,93.676918,8994200
2010-07-30,127.430000,128.979996,127.040001,128.399994,93.954994,6021000
2010-08-02,129.250000,131.199997,129.250000,130.759995,95.681885,6437500
2010-08-03,130.029999,131.039993,129.330002,130.369995,95.396507,5091800
2010-08-04,130.460007,131.500000,129.850006,131.270004,96.055077,4567500
2010-08-05,130.729996,131.979996,130.529999,131.830002,96.464874,4520600
2010-08-06,130.410004,130.479996,128.759995,130.139999,95.700081,6136200
2010-08-09,130.789993,132.339996,130.399994,132.000000,97.067856,6131700
2010-08-10,131.179993,132.490005,130.770004,131.839996,96.950188,5471700
2010-08-11,130.690002,130.690002,129.460007,129.830002,95.472099,6316100
2010-08-12,127.690002,128.779999,127.519997,128.300003,94.347015,5132200
2010-08-13,127.959999,128.460007,127.330002,127.870003,94.030800,4669400
2010-08-16,127.470001,128.229996,126.959999,127.769997,93.957260,4009200
2010-08-17,128.830002,129.850006,127.900002,128.449997,94.457329,4298300
2010-08-18,128.869995,130.199997,127.800003,129.389999,95.148552,4883200
2010-08-19,128.669998,129.589996,128.020004,128.899994,94.788208,5402400
2010-08-20,128.720001,128.979996,126.959999,127.500000,93.758713,6246300
2010-08-23,127.570000,128.029999,126.440002,126.470001,93.001289,4034400
2010-08-24,125.209999,126.019997,124.570000,124.900002,91.846764,5621200
2010-08-25,124.570000,125.599998,124.000000,125.269997,92.118843,5235300
2010-08-26,125.779999,125.779999,122.779999,122.779999,90.287796,7746600
2010-08-27,123.830002,124.800003,122.419998,124.730003,91.721748,6214200
2010-08-30,125.080002,125.269997,123.400002,123.400002,90.743713,3604000
2010-08-31,123.309998,123.989998,122.279999,123.129997,90.545174,5624200
2010-09-01,125.309998,126.309998,124.519997,125.769997,92.486504,5623100
2010-09-02,126.029999,126.230003,124.650002,125.040001,91.949738,5103300
2010-09-03,126.220001,127.599998,125.900002,127.580002,93.817543,5142900
2010-09-07,126.989998,127.360001,125.879997,125.949997,92.618919,4353300
2010-09-08,126.019997,126.519997,125.389999,126.080002,92.714516,4477500
2010-09-09,127.269997,127.570000,126.150002,126.360001,92.920425,3436700
2010-09-10,126.989998,128.289993,126.260002,127.989998,94.119057,4418700
2010-09-13,128.630005,130.000000,128.520004,129.610001,95.310341,5271300
2010-09-14,128.429993,129.919998,128.429993,128.850006,94.751434,4850500
2010-09-15,128.649994,129.960007,128.539993,129.429993,95.177971,4762500
2010-09-16,129.199997,129.949997,128.800003,129.669998,95.354446,4685000
2010-09-17,129.919998,130.600006,129.699997,130.190002,95.736855,10397400
2010-09-20,130.240005,132.089996,130.110001,131.789993,96.913422,7145500
2010-09-21,131.449997,132.800003,130.779999,131.979996,97.053116,5267900
2010-09-22,131.610001,132.580002,131.399994,132.570007,97.487000,4922400
2010-09-23,131.419998,132.779999,131.220001,131.669998,96.825165,3898800
2010-09-24,132.419998,134.149994,132.339996,134.110001,98.619461,7122400
2010-09-27,133.509995,135.000000,133.509995,134.649994,99.016556,6155400
2010-09-28,134.669998,135.139999,133.710007,134.889999,99.193054,7481300
2010-09-29,134.399994,135.800003,134.339996,135.479996,99.626907,5151200
2010-09-30,135.500000,136.110001,133.669998,134.139999,98.641510,6425800
2010-10-01,135.509995,136.279999,135.089996,135.639999,99.744545,5621200
